"Word"	"Pinyin"	"Level"	"First Translation"	"Other Translations"	"Parent"
"商店"	"shāngdiàn"	"3"	"store"	"shop, CL:家[jia1],個|个[ge4]"	""
"重"	"zhòng"	"3"	"to repeat"	"repetition, again, re-, classifier: layer, heavy, serious, to attach importance to"	"重要 (zhòngyào)"
"重要"	"zhòngyào"	"3"	"important"	"significant, major"	""
"斤"	"jīn"	"3"	"catty"	"(PRC) weight equal to 500 g, (Tw) weight equal to 600 g, (HK, Malaysia, Singapore) slightly over 604 g"	"公斤 (gōngjīn)"
"公斤"	"gōngjīn"	"3"	"kilogram (kg)"	""	""
"顏"	"yan2"	"3"	"surname Yan"	"color, face, countenance"	"顏色 (yánsè)"
"色"	"se4 shai3"	"3"	"color"	"CL:種|种[zhong3], look, appearance, sex, color, dice"	"顏色 (yánsè)"
"顏色"	"yánsè"	"3"	"color"	"countenance, appearance, facial expression, pigment, dyestuff"	""
"黃"	"huáng"	"3"	"surname Huang or Hwang"	"yellow, pornographic, to fall through"	"黃色 (huángsè)"
"黃色"	"huángsè"	"3"	"yellow (color)"	"pornographic"	""
"白"	"bái"	"3"	"surname Bai"	"white, snowy, pure, bright, empty, blank, plain, clear, to make clear, in vain, gratuitous, free of charge, reactionary, anti-communist, funeral, to stare coldly, to write wrong character, to state, to explain, vernacular, spoken lines in opera"	"白色 (báisè)"
"白色"	"báisè"	"3"	"white"	"fig. reactionary, anti-communist"	""
"襪"	"wa4"	"3"	"socks"	"stockings"	"襪子 (wàzi)"
"襪子"	"wàzi"	"3"	"socks"	"stockings, CL:隻|只[zhi1],對|对[dui4],雙|双[shuang1]"	""
"裙"	"qun2"	"3"	"old variant of 裙[qun2]"	""	"裙子 (qúnzi)"
"裙子"	"qúnzi"	"3"	"skirt"	"CL:條|条[tiao2]"	""
"短"	"duǎn"	"3"	"short"	"brief, to lack, weak point, fault"	""
"心"	"xīn"	"3"	"heart"	"mind, intention, center, core, CL:顆|颗[ke1],個|个[ge4]"	"小心 (xiǎoxīn)"
"小心"	"xiǎoxīn"	"3"	"to be careful"	"to take care"	""
"牛"	"niú"	"3"	"surname Niu"	"ox, cow, bull, CL:條|条[tiao2],頭|头[tou2], newton (abbr. for 牛頓|牛顿[niu2 dun4]), (slang) awesome"	"牛奶 (niúnǎi)"
"奶"	"nǎi"	"3"	"mother"	"variant of 奶[nai3]"	"牛奶 (niúnǎi)"
"牛奶"	"niúnǎi"	"3"	"cow's milk"	"CL:瓶[ping2],杯[bei1]"	""
"蛋"	"dàn"	"3"	"variant of 蜑[Dan4]"	"egg, CL:個|个[ge4],打[da2], oval-shaped thing"	""
"餃"	"jiao3"	"3"	"dumplings with meat filling"	""	"餃子 (jiǎozi)"
"餃子"	"jiǎozi"	"3"	"dumpling"	"pot-sticker, CL:個|个[ge4],隻|只[zhi1]"	""
"麵"	"miàn"	"3"	"flour"	"noodles, (of food) soft (not crunchy), (slang) (of a person) ineffectual, spineless"	""
"湯"	"tāng"	"3"	"surname Tang"	"rushing current, soup, hot or boiling water, decoction of medicinal herbs, water in which sth has been boiled"	""
"包"	"bāo"	"3"	"surname Bao"	"to cover, to wrap, to hold, to include, to take charge of, to contract (to or for), package, wrapper, container, bag, to hold or embrace, bundle, packet, CL:個|个[ge4],隻|只[zhi1]"	"包子 (bāozi)"
"包子"	"bāozi"	"3"	"steamed stuffed bun"	"CL:個|个[ge4]"	""
"糕"	"gao1"	"3"	"variant of 糕[gao1]"	""	"蛋糕 (dàngāo)"
"蛋糕"	"dàngāo"	"3"	"cake"	"CL:塊|块[kuai4],個|个[ge4]"	""
"麵包"	"miànbāo"	"3"	"bread"	"CL:片[pian4],袋[dai4],塊|块[kuai4]"	""
"水果"	"shuǐguǒ"	"3"	"fruit"	"CL:個|个[ge4]"	""
"香"	"xiāng"	"3"	"fragrant"	"sweet smelling, aromatic, savory or appetizing, (to eat) with relish, (of sleep) sound, perfume or spice, joss or incense stick, CL:根[gen1]"	"香蕉 (xiāngjiāo)"
"蕉"	"jiao1 qiao2"	"3"	"banana"	"see 蕉萃[qiao2 cui4]"	"香蕉 (xiāngjiāo)"
"香蕉"	"xiāngjiāo"	"3"	"banana"	"CL:枝[zhi1],根[gen1],個|个[ge4],把[ba3]"	""
"食"	"shi2 si4"	"3"	"to eat"	"food, animal feed, eclipse, to feed"	"食物 (shíwù)"
"食物"	"shíwù"	"3"	"food"	"CL:種|种[zhong3]"	""
"飲"	"yĭn"	"3"	"to drink"	"to give (animals) water to drink"	"飲料 (yǐnliào)"
"料"	"liao4"	"3"	"material"	"stuff, grain, feed, to expect, to anticipate, to guess"	"飲料 (yǐnliào)"
"飲料"	"yǐnliào"	"3"	"drink"	"beverage"	""
"汁"	"zhi1"	"3"	"juice"	""	"果汁 (guǒzhī)"
"果汁"	"guǒzhī"	"3"	"fruit juice"	""	""
"杯子"	"bēizi"	"3"	"cup"	"glass, CL:個|个[ge4],隻|只[zhi1]"	""
"甜"	"tián"	"3"	"sweet"	""	""
"單"	"dān"	"3"	"surname Shan"	"bill, list, form, single, only, sole, odd number, CL:個|个[ge4]"	"菜單 (càidān)"
"菜單"	"càidān"	"3"	"menu"	"CL:份[fen4],張|张[zhang1]"	""
"巧"	"qiăo"	"3"	"opportunely"	"coincidentally, as it happens, skillful, timely"	"巧克力 (qiǎokèlì)"
"克"	"kè"	"3"	"variant of 剋|克[ke4]"	""	"巧克力 (qiǎokèlì)"
"力"	"lì"	"3"	"surname Li"	"power, force, strength, ability, strenuously"	"巧克力 (qiǎokèlì)"
"巧克力"	"qiǎokèlì"	"3"	"chocolate (loanword)"	"CL:塊|块[kuai4]"	""
"碗"	"wǎn"	"3"	"variant of 碗[wan3]"	"bowl, cup, CL:隻|只[zhi1],個|个[ge4]"	""
"盤"	"pán"	"3"	"plate"	"dish, tray, board, hard drive (computing), to build, to coil, to check, to examine, to transfer (property), to make over, classifier for food: dish, helping, to coil, classifier for coils of wire, classifier for games of chess"	"盤子 (pánzi)"
"盤子"	"pánzi"	"3"	"tray"	"plate, dish, CL:個|个[ge4]"	""
"一半"	"yībàn"	"3"	"half"	""	""
"一定"	"yīdìng"	"3"	"surely"	"certainly, necessarily, fixed, a certain (extent etc), given, particular, must"	""
"出生"	"chūshēng"	"4"	"to be born"	""	""
"不同"	"bùtóng"	"4"	"different"	"distinct, not the same, not alike"	""
"址"	"zhi3"	"4"	"location"	"site"	"地址 (dìzhǐ)"
"地址"	"dìzhǐ"	"4"	"address"	"CL:個|个[ge4]"	""
"傳"	"chuán"	"4"	"to pass on"	"to spread, to transmit, to infect, to transfer, to circulate, to conduct (electricity), biography, historical narrative, commentaries, relay station"	"傳真 (chuánzhēn)"
"傳真"	"chuánzhēn"	"4"	"fax"	"facsimile"	""
"留"	"liú"	"4"	"old variant of 留[liu2]"	""	"留言 (liú​yán)"
"留言"	"liú​yán"	"4"	"to leave a message"	"to leave one's comments, message"	""
"日期"	"rìqí"	"4"	"date"	"CL:個|个[ge4]"	""
"時間"	"shíjiān"	"4"	"time"	"period, CL:段[duan4]"	""
"鐘頭"	"zhōngtóu"	"4"	"hour"	"CL:個|个[ge4]"	""
"夜"	"yè"	"4"	"variant of 夜[ye4]"	"night"	""
"拜"	"bài"	"4"	"to pay respect"	"worship, visit, salute"	"禮拜 (lǐbài)"
"禮拜"	"lǐbài"	"4"	"week"	"religious service, worship, CL:個|个[ge4]"	""
"禮拜天"	"lǐbàitiān"	"4"	"Sunday"	""	""
"前天"	"qiántiān"	"4"	"the day before yesterday"	""	""
"後天"	"hòutiān"	"4"	"the day after tomorrow"	"acquired (not innate), a posteriori"	""
"從前"	"cóngqián"	"4"	"previously"	"formerly, once upon a time"	""
"一會兒"	"yīhuǐér"	"4"	"a moment"	"a while, in a moment, now...now..., also pr. [yi1 hui3 r5]"	""
"不久"	"bùjiǔ"	"4"	"not long (after)"	"before too long, soon, soon after"	""
"剛"	"gāng"	"4"	"hard"	"firm, strong, just, barely, exactly"	"剛剛 (gānggāng)"
"剛剛"	"gānggāng"	"4"	"just recently"	"just a moment ago"	""
"才"	"cái"	"4"	"a moment ago"	"just now, (indicating sth happening later than expected), (preceded by a clause of condition or reason) not until, (followed by a numerical clause) only"	"剛才 (gāngcái)"
"剛才"	"gāngcái"	"4"	"just now"	"a moment ago"	""
"當"	"dāng"	"4"	"to be"	"to act as, manage, withstand, when, during, ought, should, match equally, equal, same, obstruct, just at (a time or place), on the spot, right, just at, at or in the very same..., suitable, adequate, fitting, proper, to replace, to regard as, to think, to pawn, (coll.) to fail (a student)"	"當然 (dāngrán)"
"然"	"ran2"	"4"	"correct"	"right, so, thus, like this, -ly"	"當然 (dāngrán)"
"當然"	"dāngrán"	"4"	"only natural"	"as it should be, certainly, of course, without doubt"	""
"自"	"zì"	"4"	"self"	"oneself, from, since, naturally, surely"	"自己 (zìjǐ)"
"己"	"ji3"	"4"	"self"	"oneself, sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1], sixth in order, letter ""F"" or Roman ""VI"" in list ""A, B, C"", or ""I, II, III"" etc, hexa"	"自己 (zìjǐ)"
"自己"	"zìjǐ"	"4"	"oneself"	"one's own"	""
"別"	"bié"	"4"	"surname Bie"	"to leave, to depart, to separate, to distinguish, to classify, other, another, don't ...!, to pin, to stick (sth) in"	"別人 (biérén)"
"別人"	"biérén"	"4"	"other people"	"others, other person"	""
"紀"	"ji3 ji4"	"4"	"surname Ji"	"also pr. [Ji4], order, discipline, age, era, period, to chronicle"	"年紀 (niánjì)"
"年紀"	"niánjì"	"4"	"age"	"CL:把[ba3],個|个[ge4]"	""
"男人"	"nánrén"	"4"	"a man"	"a male, men, CL:個|个[ge4]"	""
"女人"	"nǚrén"	"4"	"woman"	"wife"	""
"大人"	"dàrén"	"4"	"adult"	"grownup, title of respect toward superiors"	""
"老人"	"lǎorén"	"4"	"old man or woman"	"the elderly, one's aged parents or grandparents"	""
"慣"	"guàn"	"4"	"accustomed to"	"used to, indulge, to spoil (a child)"	"習慣 (xíguàn)"
"習慣"	"xíguàn"	"4"	"habit"	"custom, usual practice, to be used to, CL:個|个[ge4]"	""
"庭"	"ting2"	"4"	"main hall"	"front courtyard, law court"	"家庭 (jiātíng)"
"家庭"	"jiātíng"	"4"	"family"	"household, CL:戶|户[hu4],個|个[ge4]"	""
"父"	"fu4"	"4"	"father"	""	"父親 (fùqīn)"
"親"	"qīn"	"4"	"parent"	"one's own (flesh and blood), relative, related, marriage, bride, close, intimate, in person, first-hand, in favor of, pro-, to kiss, (Internet slang) dear, parents-in-law of one's offspring"	"父親 (fùqīn)"
"父親"	"fùqīn"	"4"	"father"	"also pr. [fu4 qin5], CL:個|个[ge4]"	""
"母"	"mu3"	"4"	"mother"	"elderly female relative, origin, source, (of animals) female"	"母親 (mǔqīn)"
"母親"	"mǔqīn"	"4"	"mother"	"also pr. [mu3 qin5], CL:個|个[ge4]"	""
"父母"	"fùmŭ"	"4"	"father and mother"	"parents"	""
"爺"	"ye2"	"4"	"grandpa"	"old gentleman"	"爺爺 (yéye)"
"爺爺"	"yéye"	"4"	"(coll.) father's father"	"paternal grandfather, CL:個|个[ge4]"	""
"奶奶"	"nǎinai"	"4"	"(informal) grandma (paternal grandmother)"	"(respectful) mistress of the house, CL:位[wei4], (coll.) boobies, breasts"	""
"關係"	"guānxì"	"4"	"relation"	"relationship, to concern, to affect, to have to do with, guanxi, CL:個|个[ge4]"	""
"堂"	"táng"	"4"	"(main) hall"	"large room for a specific purpose, CL:間|间[jian1], relationship between cousins etc on the paternal side of a family, of the same clan, classifier for classes, lectures etc, classifier for sets of furniture"	"教堂 (jiàotáng)"
"教堂"	"jiàotáng"	"4"	"church"	"chapel, CL:間|间[jian1]"	""
"最"	"zuì"	"4"	"old variant of 聚[ju4]"	"old variant of 最[zui4], most, the most, -est (superlative suffix)"	""
"更"	"gèng"	"4"	"to change or replace"	"to experience, one of the five two-hour periods into which the night was formerly divided, watch (e.g. of a sentry or guard), more, even more, further, still, still more"	""
"愉"	"yu2"	"4"	"pleased"	""	"愉快 (yúkuài)"
"愉快"	"yúkuài"	"4"	"cheerful"	"cheerily, delightful, pleasant, pleasantly, pleasing, happy, delighted"	""
"開心"	"kāixīn"	"4"	"to feel happy"	"to rejoice, to have a great time, to make fun of sb"	""
"急"	"jí"	"4"	"urgent"	"pressing, rapid, hurried, worried, to make (sb) anxious"	"著急 (zhāojí)"
"著急"	"zhāojí"	"4"	"to worry"	"to feel anxious, Taiwan pr. [zhao1 ji2]"	""
"擔"	"dān"	"4"	"to undertake"	"to carry, to shoulder, to take responsibility, picul (100 catties, 50 kg), two buckets full, carrying pole and its load, classifier for loads carried on a shoulder pole"	"擔心 (dānxīn)"
"擔心"	"dānxīn"	"4"	"anxious"	"worried, uneasy, to worry, to be anxious"	""
"生氣"	"shēngqì"	"4"	"to get angry"	"to take offense, angry, vitality, liveliness"	""
"怕"	"pà"	"4"	"surname Pa"	"to be afraid, to fear, to dread, to be unable to endure, perhaps"	""
"哭"	"kū"	"4"	"to cry"	"to weep"	""
"難過"	"nánguò"	"4"	"to feel sad"	"to feel unwell, (of life) to be difficult"	""
"傷心"	"shāngxīn"	"4"	"to grieve"	"to be broken-hearted, to feel deeply hurt"	""
"麗"	"li2 li4"	"4"	"Korea"	"beautiful"	"美麗 (měilì)"
"美麗"	"měilì"	"4"	"beautiful"	""	""
"聰"	"cong1"	"4"	"quick at hearing"	"wise, clever, sharp-witted, intelligent, acute"	"聰明 (cōngmíng)"
"聰明"	"cōngmíng"	"4"	"intelligent"	"clever, bright, smart, acute (of sight and hearing)"	""
"認真"	"rènzhēn"	"4"	"conscientious"	"earnest, serious, to take seriously, to take to heart"	""
"勇"	"yong3"	"4"	"brave"	""	"勇敢 (yŏnggăn)"
"敢"	"gǎn"	"4"	"to dare"	"daring, (polite) may I venture"	"勇敢 (yŏnggăn)"
"勇敢"	"yŏnggăn"	"4"	"brave"	"courageous"	""
"貌"	"mao4"	"4"	"appearance"	""	"禮貌 (lĭmào)"
"禮貌"	"lĭmào"	"4"	"courtesy"	"manners"	""
"害"	"hài"	"4"	"to do harm to"	"to cause trouble to, harm, evil, calamity"	"害羞 (hàixiū)"
"羞"	"xiu1"	"4"	"shy"	"ashamed, shame, bashful, variant of 饈|馐[xiu1], delicacies"	"害羞 (hàixiū)"
"害羞"	"hàixiū"	"4"	"shy"	"embarrassed, bashful"	""
"應"	"yìng"	"4"	"surname Ying"	"to agree (to do sth), should, ought to, must, (legal) shall, to answer, to respond, to comply with, to deal or cope with"	"應該 (yīnggāi)"
"該"	"gāi"	"4"	"should"	"ought to, probably, must be, to deserve, to owe, to be sb's turn to do sth, that, the above-mentioned"	"應該 (yīnggāi)"
"應該"	"yīnggāi"	"4"	"ought to"	"should, must"	""
"相信"	"xiāngxìn"	"4"	"to be convinced (that sth is true)"	"to believe, to accept sth as true"	""
"經"	"jīng"	"4"	"surname Jing"	"classics, sacred book, scripture, to pass through, to undergo, to bear, to endure, warp (textile), longitude, menstruation, channel (TCM), abbr. for economics 經濟|经济[jing1 ji4]"	"經驗 (jīngyàn)"
"驗"	"yan4"	"4"	"to examine"	"to test, to check"	"經驗 (jīngyàn)"
"經驗"	"jīngyàn"	"4"	"experience"	"to experience"	""
"關心"	"guānxīn"	"4"	"to be concerned about"	"to care about"	""
"辛"	"xin1"	"4"	"surname Xin"	"(of taste) hot or pungent, hard, laborious, suffering, eighth in order, eighth of the ten Heavenly Stems 十天干[shi2 tian1 gan1], letter ""H"" or Roman ""VIII"" in list ""A, B, C"", or ""I, II, III"" etc, ancient Chinese compass point: 285°, octa"	"辛苦 (xīnkǔ)"
"苦"	"kǔ"	"4"	"bitter"	"hardship, pain, to suffer, to bring suffering to, painstakingly"	"辛苦 (xīnkǔ)"
"辛苦"	"xīnkǔ"	"4"	"exhausting"	"hard, tough, arduous, to work hard, to go to a lot of trouble, hardship(s)"	""
"願"	"yuàn"	"4"	"to hope"	"to wish, to desire, hoped-for, ready, willing"	"願意 (yuànyì)"
"願意"	"yuànyì"	"4"	"to wish"	"to want, ready, willing (to do sth)"	""
"情"	"qíng"	"4"	"feeling"	"emotion, passion, situation"	"心情 (xīnqíng)"
"心情"	"xīnqíng"	"4"	"mood"	"frame of mind, CL:個|个[ge4]"	""
"幸"	"xing4"	"4"	"trusted"	"intimate, (of the emperor) to visit, variant of 幸[xing4], surname Xing, fortunate, lucky"	"幸福 (xìngfú)"
"福"	"fu2"	"4"	"surname Fu"	"abbr. for Fujian province 福建省[Fu2 jian4 sheng3], good fortune, happiness, luck"	"幸福 (xìngfú)"
"幸福"	"xìngfú"	"4"	"happiness"	"happy, blessed"	""
"憐"	"lian2"	"4"	"to pity"	""	"可憐 (kělián)"
"可憐"	"kělián"	"4"	"pitiful"	"pathetic, to have pity on"	""
"差"	"chà"	"4"	"difference"	"discrepancy, to differ, error, to err, to make a mistake, to differ from, to fall short of, lacking, wrong, inferior, Taiwan pr. [cha1], to send, to commission, messenger, mission"	""
"職"	"zhi2"	"4"	"office"	"duty"	"職業 (zhíyè)"
"職業"	"zhíyè"	"4"	"occupation"	"profession, vocation, professional"	""
"教師"	"jiàoshī"	"4"	"teacher"	"CL:個|个[ge4]"	""
"理"	"lĭ"	"4"	"texture"	"grain (of wood), inner essence, intrinsic order, reason, logic, truth, science, natural science (esp. physics), to manage, to pay attention to, to run (affairs), to handle, to put in order, to tidy up"	"經理 (jīnglǐ)"
"經理"	"jīnglǐ"	"4"	"manager"	"director, CL:個|个[ge4],位[wei4],名[ming2]"	""
"者"	"zhě"	"4"	"(after a verb or adjective) one who (is) ..."	"(after a noun) person involved in ..., -er, -ist, (used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously), (used after a term, to mark a pause before defining the term), (old) (used at the end of a command), (old) this"	"記者 (jìzhě)"
"記者"	"jìzhě"	"4"	"reporter"	"journalist, CL:個|个[ge4]"	""
"務"	"wu4"	"4"	"affair"	"business, matter, to be engaged in, to attend to, by all means"	"服務員 (fú​wù​yuán)"
"員"	"yuan2"	"4"	"person"	"employee, member"	"服務員 (fú​wù​yuán)"
"服務員"	"fú​wù​yuán"	"4"	"waiter"	"waitress, attendant, customer service personnel, CL:個|个[ge4],位[wei4]"	""
"顧"	"gù"	"4"	"surname Gu"	"to look after, to take into consideration, to attend to"	"顧客 (gùkè)"
"顧客"	"gùkè"	"4"	"client"	"customer, CL:位[wei4]"	""
"教書"	"jiāoshū"	"4"	"to teach (in a school)"	""	""
"開會"	"kāihuì"	"4"	"to hold a meeting"	"to attend a meeting"	""
"下班"	"xiàbān"	"4"	"to finish work"	"to get off work"	""
"危"	"wei1"	"4"	"surname Wei"	"danger, to endanger, Taiwan pr. [wei2]"	"危險 (wéixiǎn)"
"險"	"xian3"	"4"	"danger"	"dangerous, rugged"	"危險 (wéixiǎn)"
"危險"	"wéixiǎn"	"4"	"danger"	"dangerous"	""
"全"	"quán"	"4"	"surname Quan"	"all, whole, entire, every, complete"	"安全 (ānquán)"
"安全"	"ānquán"	"4"	"safe"	"secure, safety, security"	""
"成"	"chéng"	"4"	"surname Cheng"	"to succeed, to finish, to complete, to accomplish, to become, to turn into, to be all right, OK!, one tenth"	"成功 (chénggōng)"
"成功"	"chénggōng"	"4"	"Chenggong or Chengkung town in Taitung County 臺東縣|台东县[Tai2 dong1 Xian4], southeast Taiwan"	"success, to succeed, CL:次[ci4],個|个[ge4]"	""
"告"	"gào"	"4"	"to say"	"to tell, to announce, to report, to denounce, to file a lawsuit, to sue"	"報告 (bàogào)"
"報告"	"bàogào"	"4"	"to inform"	"to report, to make known, report, speech, talk, lecture, CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]"	""
"算"	"suàn"	"4"	"to regard as"	"to figure, to calculate, to compute"	"打算 (dǎsuàn)"
"打算"	"dǎsuàn"	"4"	"to plan"	"to intend, to calculate, plan, intention, calculation, CL:個|个[ge4]"	""
"機會"	"jīhuì"	"4"	"opportunity"	"chance, occasion, CL:個|个[ge4]"	""
"如"	"rú"	"4"	"as"	"as if, such as"	"如果 (rúguǒ)"
"如果"	"rúguǒ"	"4"	"if"	"in case, in the event that"	""
"計畫"	"jìhuà"	"4"	"variant of 計劃|计划[ji4 hua4]"	""	""
"努"	"nu3"	"4"	"to exert"	"to strive"	"努力 (nǔlì)"
"努力"	"nǔlì"	"4"	"great effort"	"to strive, to try hard"	""
"管"	"guăn"	"4"	"surname Guan"	"variant of 管[guan3], surname Guan, to take care (of), to control, to manage, to be in charge of, to look after, to run, to care about, tube, pipe, woodwind, classifier for tube-shaped objects, particle similar to 把[ba3] in 管...叫 constructions, writing brush, (coll.) to, towards"	"管理 (guănlǐ)"
"管理"	"guănlǐ"	"4"	"to supervise"	"to manage, to administer, management, administration, CL:個|个[ge4]"	""
"學院"	"xuéyuàn"	"4"	"college"	"educational institute, school, faculty, CL:所[suo3]"	""
"小學生"	"xiăoxuéshēng"	"4"	"primary school student"	"schoolchild, CL:個|个[ge4],名[ming2], (fig.) beginner"	""
"大學生"	"dàxuéshēng"	"4"	"university student"	"college student"	""
"同學"	"tóngxué"	"4"	"to study at the same school"	"fellow student, classmate, CL:位[wei4],個|个[ge4]"	""
"校長"	"xiàozhǎng"	"4"	"(college, university) president"	"headmaster, CL:個|个[ge4],位[wei4],名[ming2]"	""
"放假"	"fàngjià"	"4"	"to have a holiday or vacation"	""	""
"畢"	"bi4"	"4"	"surname Bi"	"the whole of, to finish, to complete, complete, full, finished"	"畢業 (bìyè)"
"畢業"	"bìyè"	"4"	"graduation"	"to graduate, to finish school"	""
"開學"	"kāixué"	"4"	"foundation of a University or College"	"school opening, the start of a new term"	""
"績"	"ji4"	"4"	"to spin (hemp etc)"	"merit, accomplishment, Taiwan pr. [ji1]"	"成績 (chéngjī)"
"成績"	"chéngjī"	"4"	"achievement"	"performance records, grades, CL:項|项[xiang4],個|个[ge4]"	""
"學期"	"xuéqí"	"4"	"term"	"semester, CL:個|个[ge4]"	""
"費"	"fèi"	"4"	"surname Fei"	"to cost, to spend, fee, wasteful, expenses"	"學費 (xuéfèi)"
"學費"	"xuéfèi"	"4"	"tuition fee"	"tuition, CL:個|个[ge4]"	""
"暑"	"shu3"	"4"	"heat"	"hot weather, summer heat"	"暑假 (shŭjià)"
"暑假"	"shŭjià"	"4"	"summer vacation"	"CL:個|个[ge4]"	""
"寒"	"han2"	"4"	"cold"	"poor, to tremble"	"寒假 (hánjià)"
"寒假"	"hánjià"	"4"	"winter vacation"	""	""
"服務"	"fúwù"	"4"	"to serve"	"service, CL:項|项[xiang4]"	""
"宿"	"su4 xiu3 xiu4"	"4"	"old variant of 宿[su4]"	"surname Su, lodge for the night, old, former, night, classifier for nights, constellation"	"宿舍 (sùshè)"
"舍"	"she3 she4"	"4"	"to give up"	"to abandon, to give alms, surname She, old variant of 捨|舍[she3], residence"	"宿舍 (sùshè)"
"宿舍"	"sùshè"	"4"	"dormitory"	"dorm room, living quarters, hostel, CL:間|间[jian1]"	""
"操"	"cao1 cao4"	"4"	"old variant of 操[cao1]"	"to grasp, to hold, to operate, to manage, to control, to steer, to exercise, to drill (practice), to play, to speak (a language), variant of 肏[cao4]"	"操場 (cāochăng)"
"操場"	"cāochăng"	"4"	"playground"	"sports field, drill ground, CL:個|个[ge4]"	""
"校園"	"xiàoyuán"	"4"	"campus"	""	""
"中文"	"zhōngwén"	"4"	"Chinese language"	""	""
"化"	"huà"	"4"	"variant of 花[hua1]"	"to make into, to change into, -ization, to ... -ize, to transform, abbr. for 化學|化学[hua4 xue2]"	"文化 (wénhuà)"
"文化"	"wénhuà"	"4"	"culture"	"civilization, cultural, CL:個|个[ge4],種|种[zhong3]"	""
"法"	"fa3"	"4"	"old variant of 法[fa3]"	"law"	"語法 (yǔfǎ)"
"語法"	"yǔfǎ"	"4"	"grammar"	""	""
"漢"	"han4"	"4"	"Han ethnic group"	"Chinese (language), the Han dynasty (206 BC-220 AD), man"	"漢語 (hànyǔ)"
"漢語"	"hànyǔ"	"4"	"Chinese language"	"CL:門|门[men2]"	""
"書法"	"shūfă"	"4"	"calligraphy"	"handwriting, penmanship"	""
"書桌"	"shūzhuō"	"4"	"desk"	"CL:張|张[zhang1]"	""
"典"	"dian3"	"4"	"canon"	"law, standard work of scholarship, literary quotation or allusion, ceremony, to be in charge of, to mortgage or pawn"	"字典 (zìdiǎn)"
"字典"	"zìdiǎn"	"4"	"dictionary"	"character dictionary, CL:本[ben3]"	""
"漢字"	"hànzì"	"4"	"Chinese character"	"CL:個|个[ge4], Japanese: kanji, Korean: hanja, Vietnamese: hán tự"	""
"鉛"	"qiān"	"4"	"lead (chemistry)"	""	"鉛筆 (qiānbǐ)"
"鉛筆"	"qiānbǐ"	"4"	"(lead) pencil"	"CL:支[zhi1],枝[zhi1],桿|杆[gan3]"	""
"尺"	"chǐ"	"4"	"one of the characters used to represent a musical note in gongche notation, 工尺譜|工尺谱[gong1 che3 pu3]"	"a Chinese foot, one-third of a meter, a ruler, a tape-measure, one of the three acupoints for measuring pulse in Chinese medicine, CL:支[zhi1],把[ba3]"	""
"毛"	"máo"	"4"	"surname Mao"	"hair, feather, down, wool, mildew, mold, coarse or semifinished, young, raw, careless, unthinking, nervous, scared, (of currency) to devalue or depreciate, classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])"	"毛筆 (máobĭ)"
"毛筆"	"máobĭ"	"4"	"writing brush"	"CL:枝[zhi1],管[guan3]"	""
"講"	"jiǎng"	"4"	"to speak"	"to explain, to negotiate, to emphasise, to be particular about, as far as sth is concerned, speech, lecture"	""
"講話"	"jiǎnghuà"	"4"	"a speech"	"to speak, to talk, to address, CL:個|个[ge4]"	""
"訴"	"su4"	"4"	"to complain"	"to sue, to tell"	"告訴 (gàosù)"
"告訴"	"gàosù"	"4"	"to press charges"	"to file a complaint, to tell, to inform, to let know"	""
"念"	"niàn"	"4"	"variant of 念[nian4], to read aloud"	"to read, to study (a subject), to attend (a school), to read aloud, to miss (sb), idea, remembrance, twenty (banker's anti-fraud numeral corresponding to 廿, 20)"	""
"討"	"tăo"	"4"	"to invite"	"to provoke, to demand or ask for, to send armed forces to suppress, to denounce or condemn, to marry (a woman), to discuss or study"	"討論 (tǎolùn)"
"論"	"lùn"	"4"	"abbr. for 論語|论语[Lun2 yu3], The Analects (of Confucius)"	"opinion, view, theory, doctrine, to discuss, to talk about, to regard, to consider, per, by the (kilometer, hour etc)"	"討論 (tǎolùn)"
"討論"	"tǎolùn"	"4"	"to discuss"	"to talk over, CL:個|个[ge4]"	""
"認為"	"rènwéi"	"4"	"to believe"	"to think, to consider, to feel"	""
"解"	"jiě"	"4"	"surname Xie"	"to divide, to break up, to split, to separate, to dissolve, to solve, to melt, to remove, to untie, to loosen, to open, to emancipate, to explain, to understand, to know, a solution, a dissection, to transport under guard, acrobatic display (esp. on horseback) (old), variant of 懈[xie4] and 邂[xie4] (old)"	"解釋 (jiěshì)"
"釋"	"shi4"	"4"	"to explain"	"to release, Buddha (abbr. for 釋迦牟尼|释迦牟尼[Shi4 jia1 mou2 ni2]), Buddhism"	"解釋 (jiěshì)"
"解釋"	"jiěshì"	"4"	"explanation"	"to explain, to interpret, to resolve, CL:個|个[ge4]"	""
"同意"	"tóngyì"	"4"	"to agree"	"to consent, to approve"	""
"了解"	"liǎojiě"	"4"	"to understand"	"to realize, to find out"	""
"清"	"qīng"	"4"	"Qing or Ch'ing dynasty of Imperial China (1644-1911)"	"surname Qing, clear, distinct, quiet, just and honest, pure, to settle or clear up, to clean up or purge"	"清楚 (qīngchǔ)"
