"Simplified"	"Traditional"	"Pinyin"	"Level"	"Parent"	"Meaning"
"时刻"	"時刻"	"shíkè"	"5"	""	"time"
"实话"	"實話"	"shíhuà"	"5"	""	"truth"
"际"	"際"	"jì"	"5"	"實際"	"border"
"实际"	"實際"	"shíjì"	"5"	""	"reality"
"实力"	"實力"	"shílì"	"5"	""	"strength"
"实行"	"實行"	"shíxíng"	"5"	""	"to implement"
"实在"	"實在"	"shízài"	"5"	""	"really"
"事实"	"事實"	"shìshí"	"5"	""	"fact"
"事业"	"事業"	"shìyè"	"5"	""	"undertaking"
"适"	"適"	"shì"	"5"	"適應"	"to fit"
"适应"	"適應"	"shìyìng"	"5"	""	"to adapt"
"市长"	"市長"	"shìzhăng"	"5"	""	"mayor"
"获"	"穫, 獲"	"huò"	"5, 6"	"收穫, 獲得"	"to reap"
"收获"	"收穫"	"shōuhuò"	"5"	""	"to harvest"
"收音机"	"收音機"	"shōuyīnjī"	"5"	""	"radio"
"手续"	"手續"	"shŏuxù"	"5"	""	"procedure"
"书包"	"書包"	"shūbāo"	"5"	""	"schoolbag"
"书架"	"書架"	"shūjià"	"5"	""	"bookshelf"
"舒适"	"舒適"	"shūshì"	"5"	""	"cozy"
"数字"	"數字"	"shùzì"	"5"	""	"numeral"
"树木"	"樹木"	"shùmù"	"5"	""	"tree"
"帅"	"帥"	"shuài"	"5"	""	"handsome"
"水饺"	"水餃"	"shuǐjiǎo"	"5"	""	"boiled dumpling"
"水准"	"水準"	"shuĭzhŭn"	"5"	""	"level (of achievement etc)"
"睡着"	"睡著"	"shuìzháo"	"5"	""	"to fall asleep"
"顺"	"順"	"shùn"	"5"	"順便"	"to obey"
"顺便"	"順便"	"shùnbiàn"	"5"	""	"conveniently"
"顺利"	"順利"	"shùnlì"	"5"	""	"smoothly"
"说法"	"說法"	"shuōfă"	"5"	""	"to expound Buddhist teachings"
"说明"	"說明"	"shuōmíng"	"5"	""	"to explain"
"寺庙"	"寺廟"	"sìmiào"	"5"	""	"temple"
"随"	"隨"	"suí"	"5"	"隨便"	"to follow"
"随便"	"隨便"	"suíbiàn"	"5"	""	"as one wishes"
"随时"	"隨時"	"suíshí"	"5"	""	"at any time"
"谓"	"謂"	"wèi"	"5"	"所謂"	"to speak"
"所谓"	"所謂"	"suŏwèi"	"5"	""	"so-called"
"它们"	"它們"	"tāmen"	"5"	""	"they (for inanimate objects)"
"台"	"颱, 臺"	"tái"	"5, 6"	"颱風, 櫃臺"	"typhoon"
"台风"	"颱風"	"táifēng"	"5"	""	"hurricane"
"态"	"態"	"tài"	"5"	"態度"	"(bound form)"
"态度"	"態度"	"tàidù"	"5"	""	"manner"
"谈话"	"談話"	"tánhuà"	"5"	""	"talk"
"厌"	"厭"	"yàn"	"5"	"討厭"	"to loathe"
"讨厌"	"討厭"	"tǎoyàn"	"5"	""	"to dislike"
"题材"	"題材"	"tícái"	"5"	""	"subject matter"
"题目"	"題目"	"tímù"	"5"	""	"subject"
"体会"	"體會"	"tĭhuì"	"5"	""	"to know from experience"
"体力"	"體力"	"tĭlì"	"5"	""	"physical strength"
"贴"	"貼"	"tiē"	"5"	"體貼"	"to stick"
"体贴"	"體貼"	"tĭtiē"	"5"	""	"considerate (of other people's needs)"
"体重"	"體重"	"tĭzhòng"	"5"	""	"body weight"
"甜点"	"甜點"	"tiándiăn"	"5"	""	"dessert"
"条件"	"條件"	"tiáojiàn"	"5"	""	"condition"
"战"	"戰"	"zhàn"	"5"	"挑戰"	"to fight"
"挑战"	"挑戰"	"tiăozhàn"	"5"	""	"to challenge"
"铁路"	"鐵路"	"tiělù"	"5"	""	"railroad"
"听见"	"聽見"	"tīngjiàn"	"5"	""	"to hear"
"听力"	"聽力"	"tīnglì"	"5"	""	"hearing"
"听起来"	"聽起來"	"tīngqĭlái"	"5"	""	"to sound like"
"听众"	"聽眾"	"tīngzhòng"	"5"	""	"audience"
"通过"	"通過"	"tōngguò"	"5"	""	"by means of"
"同时"	"同時"	"tóngshí"	"5"	""	"at the same time"
"同样"	"同樣"	"tóngyàng"	"5"	""	"same"
"资"	"資"	"zī"	"5"	"投資"	"resources"
"投资"	"投資"	"tóuzī"	"5"	""	"investment"
"头痛"	"頭痛"	"tóutòng"	"5"	""	"to have a headache"
"团"	"團"	"tuán"	"5"	"團體"	"round"
"团体"	"團體"	"tuántǐ"	"5"	""	"group"
"团圆"	"團圓"	"tuányuán"	"5"	""	"to have a reunion"
"荐"	"薦"	"jiàn"	"5"	"推薦"	"to recommend"
"推荐"	"推薦"	"tuījiàn"	"5"	""	"to recommend"
"销"	"銷"	"xiāo"	"5"	"推銷"	"to melt (metal)"
"推销"	"推銷"	"tuīxiāo"	"5"	""	"to market"
"脱"	"脫"	"tuō"	"5"	""	"to shed"
"外边"	"外邊"	"wàibiān"	"5"	""	"outside"
"外语"	"外語"	"wàiyǔ"	"5"	""	"foreign language"
"万一"	"萬一"	"wànyī"	"5"	""	"just in case"
"网路"	"網路"	"wănglù"	"5"	""	"network (computer, telecom)"
"忘记"	"忘記"	"wàngjì"	"5"	""	"to forget"
"维"	"維"	"wéi"	"5"	"維持"	"to preserve"
"维持"	"維持"	"wéichí"	"5"	""	"to keep"
"为主"	"為主"	"wéizhŭ"	"5"	""	"to rely mainly on"
"伟"	"偉"	"wěi"	"5"	"偉大"	"big"
"伟大"	"偉大"	"wěidà"	"5"	""	"huge"
"未来"	"未來"	"wèilái"	"5"	""	"future"
"温柔"	"溫柔"	"wēnróu"	"5"	""	"gentle and soft"
"文学"	"文學"	"wénxué"	"5"	""	"literature"
"稳"	"穩"	"wěn"	"5"	"穩定"	"settled"
"稳定"	"穩定"	"wěndìng"	"5"	""	"steady"
"问好"	"問好"	"wènhăo"	"5"	""	"to say hello to"
"问候"	"問候"	"wènhòu"	"5"	""	"to give one's respects"
"无法"	"無法"	"wúfă"	"5"	""	"unable"
"无论如何"	"無論如何"	"wúlùnrúhé"	"5"	""	"whatever the case"
"无穷"	"無窮"	"wúqióng"	"5"	""	"endless"
"无所谓"	"無所謂"	"wúsuŏwèi"	"5"	""	"to be indifferent"
"误会"	"誤會"	"wùhuì"	"5"	""	"to misunderstand"
"物价"	"物價"	"wùjià"	"5"	""	"(commodity) prices"
"牺"	"犧"	"xī"	"5"	"犧牲"	"sacrifice"
"牺牲"	"犧牲"	"xīshēng"	"5"	""	"to sacrifice one's life"
"喜爱"	"喜愛"	"xĭài"	"5"	""	"to like"
"细"	"細"	"xì"	"5"	""	"thin or slender"
"细心"	"細心"	"xìxīn"	"5"	""	"careful"
"戏"	"戲"	"xì"	"5"	""	"trick"
"戏剧"	"戲劇"	"xìjù"	"5"	""	"drama"
"系统"	"系統"	"xìtŏng"	"5"	""	"system"
"下来"	"下來"	"xiàlai"	"5"	""	"to come down"
"吓"	"嚇"	"xià"	"5"	""	"to scare"
"吓一跳"	"嚇一跳"	"xiàyítiào"	"5"	""	"startled"
"线"	"線"	"xiàn"	"5"	""	"thread"
"现代"	"現代"	"xiàndài"	"5"	""	"Hyundai, South Korean company"
"现实"	"現實"	"xiànshí"	"5"	""	"reality"
"现象"	"現象"	"xiànxiàng"	"5"	""	"appearance"
"相当"	"相當"	"xiāngdāng"	"5"	""	"equivalent to"
"相对"	"相對"	"xiāngduì"	"5"	""	"relatively"
"相关"	"相關"	"xiāngguān"	"5"	""	"related"
"详"	"詳"	"xiáng"	"5"	"詳細"	"detailed"
"详细"	"詳細"	"xiángxì"	"5"	""	"detailed"
"项"	"項"	"xiàng"	"5"	""	"back of neck"
"相机"	"相機"	"xiàngjī"	"5"	""	"at the opportune moment"
"相声"	"相聲"	"xiàngshēng"	"5"	""	"comic dialogue"
"组"	"組"	"zŭ"	"5"	"小組"	"to form"
"小组"	"小組"	"xiăozŭ"	"5"	""	"group"
"笑话"	"笑話"	"xiàohuà"	"5"	""	"joke"
"孝顺"	"孝順"	"xiàoshùn"	"5"	""	"filial piety"
"协"	"協"	"xié"	"5"	"協助"	"to cooperate"
"协助"	"協助"	"xiézhù"	"5"	""	"to provide assistance"
"赏"	"賞"	"shăng"	"5"	"欣賞"	"to bestow (a reward)"
"欣赏"	"欣賞"	"xīnshăng"	"5"	""	"to appreciate"
"奋"	"奮"	"fèn"	"5"	"興奮"	"to exert oneself (bound form)"
"兴奋"	"興奮"	"xīngfèn"	"5"	""	"excited"
"行动"	"行動"	"xíngdòng"	"5"	""	"operation"
"行为"	"行為"	"xíngwéi"	"5"	""	"action"
"醒来"	"醒來"	"xĭnglái"	"5"	""	"to waken"
"性别"	"性別"	"xìngbié"	"5"	""	"gender"
"亏"	"虧"	"kuī"	"5"	"幸虧"	"deficiency"
"幸亏"	"幸虧"	"xìngkuī"	"5"	""	"fortunately"
"幸运"	"幸運"	"xìngyùn"	"5"	""	"fortunate"
"凶"	"兇"	"xiōng"	"5"	""	"terrible"
"熊猫"	"熊貓"	"xióngmāo"	"5"	""	"panda"
"选"	"選"	"xuǎn"	"5"	""	"to choose"
"选举"	"選舉"	"xuănjŭ"	"5"	""	"to elect"
"择"	"擇"	"zé"	"5"	"選擇"	"to select"
"选择"	"選擇"	"xuǎnzé"	"5"	""	"to select"
"学会"	"學會"	"xuéhuì"	"5"	""	"to learn"
"学问"	"學問"	"xuéwèn"	"5"	""	"learning"
"寻"	"尋"	"xún"	"5"	"尋找"	"to search"
"寻找"	"尋找"	"xúnzhăo"	"5"	""	"to seek"
"训练"	"訓練"	"xùnliàn"	"5"	""	"to train"
"鸭"	"鴨"	"yā"	"5"	""	"duck"
"齿"	"齒"	"chǐ"	"5"	"牙齒"	"tooth"
"牙齿"	"牙齒"	"yáchǐ"	"5"	""	"tooth"
"烟"	"煙"	"yān"	"5"	"煙火"	"cigarette or pipe tobacco"
"烟火"	"煙火"	"yānhuŏ"	"5"	""	"smoke and fire"
"严"	"嚴"	"yán"	"5"	"嚴重"	"tight (closely sealed)"
"严重"	"嚴重"	"yánzhòng"	"5"	""	"grave"
"演讲"	"演講"	"yănjiăng"	"5"	""	"lecture"
"演员"	"演員"	"yănyuán"	"5"	""	"actor or actress"
"眼泪"	"眼淚"	"yănlèi"	"5"	""	"tears"
"阳光"	"陽光"	"yángguāng"	"5"	""	"sunshine"
"样样"	"樣樣"	"yàngyàng"	"5"	""	"all kinds"
"邀请"	"邀請"	"yāoqĭng"	"5"	""	"to invite"
"要紧"	"要緊"	"yàojǐn"	"5"	""	"important"
"页"	"頁"	"yè"	"5"	""	"page"
"夜里"	"夜裡"	"yèli"	"5"	""	"during the night"
"衣柜"	"衣櫃"	"yīguì"	"5"	""	"wardrobe"
"一块"	"一塊"	"yīkuài"	"5"	""	"one block"
"以来"	"以來"	"yĭlái"	"5"	""	"since (a previous event)"
"以内"	"以內"	"yĭnèi"	"5"	""	"within"
"以为"	"以為"	"yǐwéi"	"5"	""	"to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.)"
"一般来说"	"一般來說"	"yìbānláishuō"	"5"	""	"generally speaking"
"一连"	"一連"	"yìlián"	"5"	""	"in a row"
"一时"	"一時"	"yìshí"	"5"	""	"a period of time"
"意见"	"意見"	"yìjiàn"	"5"	""	"idea"
"义"	"義"	"yì"	"5"	"意義"	"justice"
"意义"	"意義"	"yìyì"	"5"	""	"sense"
"阴"	"陰"	"yīn"	"5"	""	"overcast (weather)"
"音响"	"音響"	"yīnxiăng"	"5"	""	"sound"
"营养"	"營養"	"yíngyăng"	"5"	""	"nutrition"
"拥"	"擁"	"yōng"	"5"	"擁有"	"to hold"
"拥有"	"擁有"	"yŏngyŏu"	"5"	""	"to have"
"优"	"優"	"yōu"	"5"	"優點"	"excellent"
"优点"	"優點"	"yōudiăn"	"5"	""	"merit"
"优秀"	"優秀"	"yōuxiù"	"5"	""	"outstanding"
"邮票"	"郵票"	"yóupiào"	"5"	""	"(postage) stamp"
"游客"	"遊客"	"yóukè"	"5"	""	"traveler"
"由于"	"由於"	"yóuyú"	"5"	""	"due to"
"有点儿"	"有點兒"	"yǒudiănr"	"5"	""	"slightly"
"有钱"	"有錢"	"yǒuqián"	"5"	""	"well-off"
"谊"	"誼"	"yì"	"5"	"友誼"	"friendship"
"友谊"	"友誼"	"yŏuyì"	"5"	""	"companionship"
"于是"	"於是"	"yúshì"	"5"	""	"thereupon"
"与"	"與"	"yǔ"	"5"	""	"and"
"预"	"預"	"yù"	"5"	"預備"	"to advance"
"预备"	"預備"	"yùbèi"	"5"	""	"to prepare"
"预习"	"預習"	"yùxí"	"5"	""	"to prepare a lesson"
"员工"	"員工"	"yuángōng"	"5"	""	"staff"
"谅"	"諒"	"liàng"	"5"	"原諒"	"to show understanding"
"原谅"	"原諒"	"yuánliàng"	"5"	""	"to excuse"
"愿望"	"願望"	"yuànwàng"	"5"	""	"desire"
"约会"	"約會"	"yuēhuì"	"5"	""	"appointment"
"月饼"	"月餅"	"yuèbĭng"	"5"	""	"mooncake (esp. for the Mid-Autumn Festival)"
"阅"	"閱"	"yuè"	"5"	"閱讀"	"to inspect"
"阅读"	"閱讀"	"yuèdú"	"5"	""	"to read"
"乐团"	"樂團"	"yuètuán"	"5"	""	"band"
"运气"	"運氣"	"yùnqì"	"5"	""	"luck (good or bad)"
"在于"	"在於"	"zàiyú"	"5"	""	"to be in"
"责任"	"責任"	"zérèn"	"5"	""	"responsibility"
"暂"	"暫"	"zàn"	"5"	"暫時"	"temporary"
"暂时"	"暫時"	"zhànshí"	"5"	""	"temporary"
"争"	"爭"	"zhēng"	"5"	"戰爭"	"to strive for"
"战争"	"戰爭"	"zhànzhēng"	"5"	""	"war"
"长大"	"長大"	"zhǎngdà"	"5"	""	"to grow up"
"碍"	"礙"	"ài"	"5"	"障礙"	"to hinder"
"障碍"	"障礙"	"zhàngài"	"5"	""	"barrier"
"找钱"	"找錢"	"zhǎoqián"	"5"	""	"to give change"
"哲学"	"哲學"	"zhéxué"	"5"	""	"philosophy"
"这下子"	"這下子"	"zhèxiàzi"	"5"	""	"this time"
"这样"	"這樣"	"zhèyàng"	"5"	""	"this kind of"
"这样子"	"這樣子"	"zhèyàngzi"	"5"	""	"so"
"真实"	"真實"	"zhēnshí"	"5"	""	"true"
"珍贵"	"珍貴"	"zhēnguì"	"5"	""	"precious"
"齐"	"齊"	"qí"	"5"	"整齊"	"(name of states and dynasties at several different periods)"
"整齐"	"整齊"	"zhěngqí"	"5"	""	"orderly"
"正确"	"正確"	"zhèngquè"	"5"	""	"correct"
"证明"	"證明"	"zhèngmíng"	"5"	""	"proof"
"证书"	"證書"	"zhèngshū"	"5"	""	"credentials"
"知识"	"知識"	"zhīshì"	"5"	""	"knowledge"
"之后"	"之後"	"zhīhòu"	"5"	""	"afterwards"
"之间"	"之間"	"zhījiān"	"5"	""	"between"
"职员"	"職員"	"zhíyuán"	"5"	""	"office worker"
"至于"	"至於"	"zhìyú"	"5"	""	"as for"
"终"	"終"	"zhōng"	"5"	"終於"	"end"
"终于"	"終於"	"zhōngyú"	"5"	""	"at last"
"重点"	"重點"	"zhòngdiăn"	"5"	""	"to recount (e.g. results of election)"
"重视"	"重視"	"zhòngshì"	"5"	""	"to attach importance to sth"
"周围"	"周圍"	"zhōuwéi"	"5"	""	"surroundings"
"主动"	"主動"	"zhŭdòng"	"5"	""	"to take the initiative"
"主妇"	"主婦"	"zhŭfù"	"5"	""	"housewife"
"主题"	"主題"	"zhŭtí"	"5"	""	"theme"
"专"	"專"	"zhuān"	"5"	"專心"	"for a particular person, occasion, purpose"
"专心"	"專心"	"zhuānxīn"	"5"	""	"to concentrate"
"专业"	"專業"	"zhuānyè"	"5"	""	"specialty"
"状"	"狀"	"zhuàng"	"5"	"狀態"	"accusation"
"状态"	"狀態"	"zhuàngtài"	"5"	""	"state of affairs"
"准时"	"準時"	"zhŭnshí"	"5"	""	"on time"
"资料"	"資料"	"zīliào"	"5"	""	"material"
"资源"	"資源"	"zīyuán"	"5"	""	"natural resource (such as water or minerals)"
"仔细"	"仔細"	"zĭxì"	"5"	""	"careful"
"自从"	"自從"	"zìcóng"	"5"	""	"since (a time)"
"自动"	"自動"	"zìdòng"	"5"	""	"automatic"
"自杀"	"自殺"	"zìshā"	"5"	""	"to kill oneself"
"总而言之"	"總而言之"	"zǒngéryánzhī"	"5"	""	"in short"
"总算"	"總算"	"zǒngsuàn"	"5"	""	"at long last"
"总统"	"總統"	"zǒngtǒng"	"5"	""	"president (of a country)"
"总之"	"總之"	"zǒngzhī"	"5"	""	"in a word"
"做梦"	"做夢"	"zuòmèng"	"5"	""	"to dream"
"哟"	"喲"	"yāo"	"6"	"哎喲"	"Oh! (interjection indicating slight surprise)"
"哎哟"	"哎喲"	"āiyāo"	"6"	""	"hey"
"爱好"	"愛好"	"àihào"	"6"	""	"to like"
"爱护"	"愛護"	"àihù"	"6"	""	"to cherish"
"爱人"	"愛人"	"àirén"	"6"	""	"spouse (PRC)"
"安装"	"安裝"	"ānzhuāng"	"6"	""	"to install"
"按时"	"按時"	"ànshí"	"6"	""	"on time"
"肮"	"骯"	"āng"	"6"	"骯髒"	"dirty"
"肮脏"	"骯髒"	"āngzhāng"	"6"	""	"dirty"
"罢"	"罷"	"bà"	"6"	"罷工"	"to stop"
"罢工"	"罷工"	"bàgōng"	"6"	""	"a strike"
"罢了"	"罷了"	"bàle"	"6"	""	"a modal particle indicating (that's all, only, nothing much)"
"摆脱"	"擺脫"	"băituō"	"6"	""	"to break away from"
"拜访"	"拜訪"	"bàifăng"	"6"	""	"to pay a visit"
"讬"	"託"	"tuō"	"6"	"拜託"	"to trust"
"拜托"	"拜託"	"bàituō"	"6"	""	"to request sb to do sth"
"班长"	"班長"	"bānzhăng"	"6"	""	"class monitor"
"搬运"	"搬運"	"bānyùn"	"6"	""	"freight"
"半数"	"半數"	"bànshù"	"6"	""	"half the number"
"办公"	"辦公"	"bàngōng"	"6"	""	"to handle official business"
"办事"	"辦事"	"bànshì"	"6"	""	"to handle (affairs)"
"包装"	"包裝"	"bāozhuāng"	"6"	""	"to pack"
"卫"	"衛"	"wèi"	"6"	"保衛"	"vassal state during the Zhou Dynasty (1066-221 BC), located in present day Henan and Hebei Provinces"
"保卫"	"保衛"	"băowèi"	"6"	""	"to defend"
"宝宝"	"寶寶"	"băobao"	"6"	""	"darling"
"报仇"	"報仇"	"bàochóu"	"6"	""	"to take revenge"
"报答"	"報答"	"bàodá"	"6"	""	"to repay"
"报导"	"報導"	"bàodăo"	"6"	""	"to report (in the media)"
"报到"	"報到"	"bàodào"	"6"	""	"to report for duty"
"报警"	"報警"	"bàojĭng"	"6"	""	"to sound an alarm"
"报社"	"報社"	"bàoshè"	"6"	""	"newspaper (i.e. a company)"
"悲剧"	"悲劇"	"bēijù"	"6"	""	"tragedy"
"本领"	"本領"	"běnlĭng"	"6"	""	"skill"
"笔记"	"筆記"	"bĭjì"	"6"	""	"to take down (in writing)"
"笔试"	"筆試"	"bĭshì"	"6"	""	"written examination"
"闭"	"閉"	"bì"	"6"	""	"to close"
"编"	"編"	"biān"	"6"	""	"to weave"
"变动"	"變動"	"biàndòng"	"6"	""	"to change"
"标题"	"標題"	"biāotí"	"6"	""	"title"
"标志"	"標誌"	"biāozhì"	"6"	""	"sign"
"扬"	"揚"	"yáng"	"6"	"表揚"	"to raise"
"表扬"	"表揚"	"biăoyáng"	"6"	""	"to praise"
"并"	"並, 併"	"bìng"	"6, 7"	"併發"	"and"
"并且"	"並且"	"bìngqiě"	"6"	""	"and"
"拨"	"撥"	"bō"	"6"	""	"to push aside with the hand, foot, a stick etc"
"波动"	"波動"	"bōdòng"	"6"	""	"to undulate"
"补"	"補"	"bŭ"	"6"	""	"to repair"
"偿"	"償"	"cháng"	"6"	"補償"	"to repay"
"补偿"	"補償"	"bŭcháng"	"6"	""	"to compensate"
"补充"	"補充"	"bŭchōng"	"6"	""	"to replenish"
"补课"	"補課"	"bŭkè"	"6"	""	"to make up missed lesson"
"补习"	"補習"	"bŭxí"	"6"	""	"to take extra lessons in a cram school or with a private tutor"
"补助"	"補助"	"bŭzhù"	"6"	""	"to subsidize"
"不当"	"不當"	"bùdàng"	"6"	""	"unsuitable"
"不敢当"	"不敢當"	"bùgăndāng"	"6"	""	"lit. I dare not (accept the honor); fig. I don't deserve your praise"
"不顾"	"不顧"	"bùgù"	"6"	""	"in spite of"
"不见得"	"不見得"	"bùjiànde"	"6"	""	"not necessarily"
"不仅"	"不僅"	"bùjĭn"	"6"	""	"not only (this one)"
"不许"	"不許"	"bùxŭ"	"6"	""	"not to allow"
"部队"	"部隊"	"bùduì"	"6"	""	"army"
"部长"	"部長"	"bùzhăng"	"6"	""	"head of a (government etc) department"
"财产"	"財產"	"cáichăn"	"6"	""	"property"
"财富"	"財富"	"cáifù"	"6"	""	"wealth"
"裁员"	"裁員"	"cáiyuán"	"6"	""	"to cut staff"
"采购"	"採購"	"căigòu"	"6"	""	"to procure (for an enterprise etc)"
"参与"	"參與"	"cānyù"	"6"	""	"to participate (in sth)"
"蚕"	"蠶"	"cán"	"6"	""	"silkworm"
"惭"	"慚"	"cán"	"6"	"慚愧"	"ashamed"
"惭愧"	"慚愧"	"cánkuì"	"6"	""	"ashamed"
"惨"	"慘"	"căn"	"6"	""	"miserable"
"仓"	"倉"	"cāng"	"6"	"倉庫"	"barn"
"库"	"庫"	"kù"	"6"	"倉庫"	"warehouse"
"仓库"	"倉庫"	"cāngkù"	"6"	""	"depot"
"册"	"冊"	"cè"	"6"	""	"book"
"测"	"測"	"cè"	"6"	"測量"	"to survey"
"测量"	"測量"	"cèliáng"	"6"	""	"survey"
"测试"	"測試"	"cèshì"	"6"	""	"to test (machinery etc)"
"测验"	"測驗"	"cèyàn"	"6"	""	"test"
"差错"	"差錯"	"chācuò"	"6"	""	"mistake"
"插图"	"插圖"	"chātú"	"6"	""	"illustration"
"茶馆"	"茶館"	"cháguăn"	"6"	""	"teahouse"
"茶会"	"茶會"	"cháhuì"	"6"	""	"tea party"
"叶"	"葉"	"yè"	"6"	"茶葉"	"leaf"
"茶叶"	"茶葉"	"cháyè"	"6"	""	"tea"
"产量"	"產量"	"chănliàng"	"6"	""	"output"
"产业"	"產業"	"chănyè"	"6"	""	"industry"
"常识"	"常識"	"chángshì"	"6"	""	"common sense"
"长处"	"長處"	"chángchù"	"6"	""	"good aspects"
"长度"	"長度"	"chángdù"	"6"	""	"length"
"长方形"	"長方形"	"chángfāngxíng"	"6"	""	"rectangle"
"长久"	"長久"	"chángjiŭ"	"6"	""	"(for a) long time"
"长途"	"長途"	"chángtú"	"6"	""	"long distance"
"场地"	"場地"	"chăngdì"	"6"	""	"space"
"场合"	"場合"	"chănghé"	"6"	""	"situation"
"场所"	"場所"	"chăngsuŏ"	"6"	""	"location"
"厂商"	"廠商"	"chăngshāng"	"6"	""	"manufacturer"
"钞"	"鈔"	"chāo"	"6"	"鈔票"	"money"
"钞票"	"鈔票"	"chāopiào"	"6"	""	"paper money"
"吵闹"	"吵鬧"	"chăonào"	"6"	""	"noisy"
"车票"	"車票"	"chēpiào"	"6"	""	"ticket (for a bus or train)"
"陈"	"陳"	"chén"	"6"	"陳列"	"vassal state during the Spring and Autumn Period 770-475 BC"
"陈列"	"陳列"	"chénliè"	"6"	""	"to display"
"称"	"稱"	"chēng"	"6"	""	"to fit"
"撑"	"撐"	"chēng"	"6"	""	"to support"
"成为"	"成為"	"chéngwéi"	"6"	""	"to become"
"成语"	"成語"	"chéngyŭ"	"6"	""	"Chinese set expression, typically of 4 characters, often alluding to a story or historical quotation"
"恳"	"懇"	"kěn"	"6"	"誠懇"	"earnest"
"诚恳"	"誠懇"	"chéngkěn"	"6"	""	"sincere"
"诚意"	"誠意"	"chéngyì"	"6"	""	"sincerity"
"呈现"	"呈現"	"chéngxiàn"	"6"	""	"to appear"
"吃亏"	"吃虧"	"chīkuī"	"6"	""	"to suffer losses"
"迟早"	"遲早"	"chízăo"	"6"	""	"sooner or later"
"冲"	"沖, 衝"	"chōng"	"6, 7"	""	"(of water) to dash against"
"充满"	"充滿"	"chōngmăn"	"6"	""	"full of"
"屉"	"屜"	"tì"	"6"	"抽屜"	"drawer"
"抽屉"	"抽屜"	"chōuti"	"6"	""	"drawer"
"出产"	"出產"	"chūchăn"	"6"	""	"to produce (by natural growth, or by manufacture, mining etc)"
"初级"	"初級"	"chūjí"	"6"	""	"junior"
"储"	"儲"	"chǔ"	"6"	"儲存"	"Taiwan pr. [Chu2]"
"储存"	"儲存"	"chúcún"	"6"	""	"stockpile"
"储蓄"	"儲蓄"	"chúxù"	"6"	""	"to deposit money"
"罚"	"罰"	"fá"	"6"	"處罰"	"to punish"
"处罚"	"處罰"	"chŭfá"	"6"	""	"to penalize"
"处处"	"處處"	"chùchù"	"6"	""	"everywhere"
"传播"	"傳播"	"chuánbò"	"6"	""	"to disseminate"
"传达"	"傳達"	"chuándá"	"6"	""	"to pass on"
"传单"	"傳單"	"chuándān"	"6"	""	"leaflet"
"传染"	"傳染"	"chuánrăn"	"6"	""	"to infect"
"传说"	"傳說"	"chuánshuō"	"6"	""	"legend"
"传送"	"傳送"	"chuánsòng"	"6"	""	"to convey"
"床单"	"床單"	"chuángdān"	"6"	""	"bed sheet"
"闯"	"闖"	"chuăng"	"6"	""	"to rush"
"创作"	"創作"	"chuàngzuò"	"6"	""	"to create"
"磁带"	"磁帶"	"cídài"	"6"	""	"magnetic tape"
"词典"	"詞典"	"cídiăn"	"6"	""	"dictionary (of Chinese compound words)"
"汇"	"彙, 匯"	"huì"	"6"	"詞彙, 匯款"	"class"
"词汇"	"詞彙"	"cíhuì"	"6"	""	"vocabulary"
"辞"	"辭"	"cí"	"6"	"辭職"	"to resign"
"辞职"	"辭職"	"cízhí"	"6"	""	"to resign"
"次数"	"次數"	"cìshù"	"6"	""	"number of times"
"从此"	"從此"	"cóngcĭ"	"6"	""	"from now on"
"从没"	"從沒"	"cóngméi"	"6"	""	"never (in the past)"
"从事"	"從事"	"cóngshì"	"6"	""	"to go for"
"凑"	"湊"	"còu"	"6"	""	"to gather together, pool or collect"
"促进"	"促進"	"cùjìn"	"6"	""	"to promote (an idea or cause)"
"错过"	"錯過"	"cuòguò"	"6"	""	"to miss (train, opportunity etc)"
"错字"	"錯字"	"cuòzì"	"6"	""	"incorrect character"
"达到"	"達到"	"dádào"	"6"	""	"to reach"
"打断"	"打斷"	"dăduàn"	"6"	""	"to interrupt"
"扰"	"擾"	"rǎo"	"6"	"打擾"	"to disturb"
"打扰"	"打擾"	"dărăo"	"6"	""	"to disturb"
"针"	"針"	"zhēn"	"6"	"打針"	"needle"
"打针"	"打針"	"dăzhēn"	"6"	""	"to give or have an injection"
"胆"	"膽"	"dăn"	"6"	"大膽"	"gall bladder"
"大胆"	"大膽"	"dàdăn"	"6"	""	"brazen"
"大脑"	"大腦"	"dànăo"	"6"	""	"brain"
"大众"	"大眾"	"dàzhòng"	"6"	""	"Volkswagen (automobile manufacturer)"
"代沟"	"代溝"	"dàigōu"	"6"	""	"generation gap"
"代价"	"代價"	"dàijià"	"6"	""	"price"
"带动"	"帶動"	"dàidòng"	"6"	""	"to spur"
"带路"	"帶路"	"dàilù"	"6"	""	"to lead the way"
"带子"	"帶子"	"dàizi"	"6"	""	"belt"
"贷"	"貸"	"dài"	"6"	"貸款"	"to lend on interest"
"贷款"	"貸款"	"dàikuăn"	"6"	""	"a loan"
"单调"	"單調"	"dāndiào"	"6"	""	"monotonous"
"单位"	"單位"	"dānwèi"	"6"	""	"unit (of measure)"
"单子"	"單子"	"dānzi"	"6"	""	"the only son of a family"
"担保"	"擔保"	"dānbăo"	"6"	""	"to guarantee"
"耽误"	"耽誤"	"dānwù"	"6"	""	"to delay"
"胆量"	"膽量"	"dănliàng"	"6"	""	"courage"
