"Pinyin","AllWords","Definitions"
"mǎshàng","馬上","馬上 at once, right away, immediately, on horseback (i.e. by military force)"
"bǎ","把","把 to hold, to contain, to grasp, to take hold of, handle, particle marking the following noun as a direct object, classifier for objects with handle, classifier for small objects: handful, handle"
"ràng","讓","讓 to yield, to permit, to let sb do sth, to have sb do sth, to make sb (feel sad etc), by (indicates the agent in a passive clause, like 被[bei4])"
"huò","或","或 maybe, perhaps, might, possibly, or"
"huòshì","或是","或是 or, either one or the other"
"ránhòu","然後","然後 after, then (afterwards), after that, afterwards"
"dànshì","但是","但是 but, however"
"érqiě","而且","而且 (not only ...) but also, moreover, in addition, furthermore"
"suīrán","雖然","雖然 although, even though, even if"
"yuánlái","原來","原來 original, former, originally, formerly, at first, so, actually, as it turns out"
"yěxǔ","也許","也許 perhaps, maybe"
"wèile","為了","為了 in order to, for the purpose of, so as to"
"bìxū","必須","必須 to have to, must, compulsory, necessarily"
"yǒngyuǎn","永遠","永遠 forever, eternal"
"nàme","那麼","那麼 like that, in that way, or so, so, so very much, about, in that case"
"zhème","這麼","這麼 so much, this much, how much?, this way, like this"
"běnlái","本來","本來 original, originally, at first, it goes without saying, of course"
"yàoshì","要是","要是 if"
"āyí","阿姨","阿姨 maternal aunt, step-mother, childcare worker, nursemaid, woman of similar age to one's parents (term of address used by child), CL:個|个[ge4]"
"āi","哎, 唉, 挨","哎 hey!, (interjection used to attract attention or to express surprise or disapprobation)
唉 interjection or grunt of agreement or recognition (e.g. yes, it's me!), to sigh, alas, oh dear
挨 in order, in sequence, close to, adjacent to, to suffer, to endure, to pull through (hard times), to delay, to stall, to play for time, to dawdle"
"àiqíng","愛情","愛情 romance, love (romantic), CL:個|个[ge4],份[fen4]"
"àixí","愛惜","愛惜 to cherish, to treasure, to use sparingly"
"àixīn","愛心","愛心 compassion, kindness, care for others, love, charity (bazaar, golf day etc), heart (the symbol ♥), CL:片[pian4]"
"āndìng","安定","安定 stable, quiet, settled, stabilize, maintain, stabilized, calm and orderly, Anting township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan"
"ānpái","安排","安排 to arrange, to plan, to set up, arrangements, plans"
"ānxīn","安心","安心 at ease, to feel relieved, to set one's mind at rest, to keep one's mind on sth"
"àn","按, 暗","按 to press, to push, to leave aside or shelve, to control, to restrain, to keep one's hand on, to check or refer to, according to, in the light of, (of an editor or author) to make a comment
暗 dark, gloomy, hidden, secret, muddled, obscure, in the dark, to close (a door), to eclipse, muddled, stupid, ignorant, variant of 暗[an4], variant of 暗[an4]"
"ànzhào","按照","按照 according to, in accordance with, in the light of, on the basis of"
"bāshì","巴士","巴士 bus (loanword), motor coach"
"bǎwò","把握","把握 to grasp (also fig.), to seize, to hold, assurance, certainty, sure (of the outcome)"
"báicài","白菜","白菜 Chinese cabbage, pak choi, CL:棵[ke1], 個|个[ge4]"
"báitian","白天","白天 daytime, during the day, day, CL:個|个[ge4]"
"bǎihuògōngsī","百貨公司","百貨公司 department store"
"bānjī","班機","班機 airliner, (regular) flight, CL:趟[tang4],次[ci4],班[ban1]"
"bānjiā","搬家","搬家 to move house, removal"
"bànlǐ","辦理","辦理 to handle, to transact, to conduct"
"bàntiān","半天","半天 half of the day, a long time, quite a while, midair, CL:個|个[ge4]"
"bànyè","半夜","半夜 midnight, in the middle of the night"
"bāngzhù","幫助","幫助 assistance, aid, to help, to assist"
"bǎngyàng","榜樣","榜樣 example, model, CL:個|个[ge4]"
"bāohán","包含","包含 to contain, to embody, to include"
"bǎobèi","寶貝","寶貝 treasured object, treasure, darling, baby, cowry, good-for-nothing or queer character"
"bǎoguì","寶貴","寶貴 valuable, precious, to value, to treasure, to set store by"
"bǎohù","保護","保護 to protect, to defend, to safeguard, protection, CL:種|种[zhong3]"
"bǎoshǒu","保守","保守 conservative, to guard, to keep"
"bǎoyǎng","保養","保養 to take good care of (or conserve) one's health, to keep in good repair, to maintain, maintenance"
"bǎozhèng","保證","保證 guarantee, to guarantee, to ensure, to safeguard, to pledge, CL:個|个[ge4]"
"bào","抱","抱 to hold, to carry (in one's arms), to hug, to embrace, to surround, to cherish"
"bàoyuàn","抱怨","抱怨 to complain, to grumble, to harbor a complaint, to feel dissatisfied"
"bàomíng","報名","報名 to sign up, to enter one's name, to apply, to register, to enroll, to enlist"
"bēibāo","背包","背包 knapsack, rucksack, infantry pack, field pack, blanket roll, CL:個|个[ge4]"
"běifāng","北方","北方 north, the northern part a country, China north of the Yellow River"
"bèidòng","被動","被動 passive"
"bèihòu","背後","背後 behind, at the back, in the rear, behind sb's back"
"bèijǐng","背景","背景 background, backdrop, context, (fig.) powerful backer, CL:種|种[zhong3]"
"bèizi","輩子, 被子","輩子 all one's life, lifetime
被子 quilt, CL:床[chuang2]"
"běnrén","本人","本人 the person himself, I (humble form used in speeches), oneself, myself, in person, personal"
"běnzi","本子","本子 book, notebook, edition, CL:本[ben3]"
"bèn","笨","笨 stupid, foolish, silly, slow-witted, clumsy"
"bī","逼","逼 to compel, to pressure, to force (sb to do sth), to compel, to press for, to extort, to press on towards, to press up to, to close in on, variant of 逼[bi1], euphemistic variant of 屄[bi1]"
"bǐrú","比如","比如 for example, for instance, such as"
"bìjìng","畢竟","畢竟 after all, all in all, when all is said and done, in the final analysis"
"bìmiǎn","避免","避免 to avert, to prevent, to avoid, to refrain from"
"bìyào","必要","必要 necessary, essential, indispensable, required"
"biānpào","鞭炮","鞭炮 firecrackers, string of small firecrackers, CL:枚[mei2]"
"biànchéng","變成","變成 to change into, to turn into, to become"
"biàngēng","變更","變更 to change, to alter, to modify"
"biànhuà","變化","變化 change, variation, to change, to vary, CL:個|个[ge4]"
"biàntiáo","便條","便條 (informal) note, CL:張|张[zhang1],個|个[ge4]"
"biāozhǔn","標準","標準 (an official) standard, norm, criterion, CL:個|个[ge4]"
"biǎodá","表達","表達 to express, to convey"
"biǎomiàn","表面","表面 surface, face, outside, appearance"
"biǎoshì","表示","表示 to express, to show, to say, to state, to indicate, to mean"
"biǎoxiàn","表現","表現 to show, to show off, to display, to manifest, expression, manifestation, show, display, performance (at work etc), behavior"
"biéde","別的","別的 else, other"
"bīngkuài","冰塊","冰塊 ice cube, ice chunk"
"bóbo","伯伯","伯伯 father's elder brother, uncle"
"bóshì","博士","博士 doctor, court academician (in feudal China), Ph.D."
"bò","播","播 to sow, to scatter, to spread, to broadcast, Taiwan pr. [bo4]"
"bùbì","不必","不必 need not, does not have to, not necessarily"
"bùduàn","不斷","不斷 unceasing, uninterrupted, continuous, constant"
"bùguò","不過","不過 only, merely, no more than, but, however, anyway (to get back to a previous topic), cannot be more (after adjectival)"
"bùjiàn","不見","不見 not to see, not to meet, to have disappeared, to be missing"
"bùlùn","不論","不論 whatever, no matter what (who, how etc), regardless of, not to discuss"
"bùxìng","不幸","不幸 misfortune, adversity, unfortunate, sad, unfortunately, CL:個|个[ge4]"
"bùyòngshuō","不用說","不用說 "
"bùdébù","不得不","不得不 have no choice or option but to, cannot but, have to, can't help it, can't avoid"
"bùdéliǎo","不得了","不得了 desperately serious, disastrous, extremely, exceedingly"
"bùguǎn","不管","不管 not to be concerned, regardless of, no matter"
"bùmǎn","不滿","不滿 resentful, discontented, dissatisfied"
"bùrú","不如","不如 not equal to, not as good as, inferior to, it would be better to"
"bùshǎo","不少","不少 many, a lot, not few"
"bùzú","不足","不足 insufficient, lacking, deficiency, not enough, inadequate, not worth, cannot, should not"
"bùfen","部分","部分 part, share, section, piece, CL:個|个[ge4]"
"bùmén","部門","部門 department, branch, section, division, CL:個|个[ge4]"
"bù","布","布 to announce, to spread, cloth, to declare, to announce, to spread, to make known, variant of 布[bu4]"
"cā","擦","擦 to wipe, to erase, rubbing (brush stroke in painting), to clean, to polish"
"cāi","猜","猜 to guess"
"cáiliào","材料","材料 material, data, makings, stuff, CL:個|个[ge4],種|种[zhong3]"
"cǎiyòng","採用","採用 to adopt, to employ, to use"
"cānzhuō","餐桌","餐桌 dining table, dinner table"
"cānkǎo","參考","參考 consultation, reference, to consult, to refer"
"cǎodì","草地","草地 lawn, meadow, sod, turf, CL:片[pian4]"
"cǎoyuán","草原","草原 grassland, prairie, CL:片[pian4]"
"céng","層, 曾","層 layer, stratum, laminated, floor (of a building), storey, classifier for layers, repeated, sheaf (math.)
曾 once, already, ever (in the past), former, previously, (past tense marker used before verb or clause), great-grand (father, child etc), surname Zeng"
"céngjīng","曾經","曾經 once, already, former, previously, ever, (past tense marker used before verb or clause)"
"chābié","差別","差別 difference, distinction, disparity"
"chāyì","差異","差異 difference, discrepancy"
"chàdiǎnr","差點兒","差點兒 erhua variant of 差點|差点[cha4 dian3]"
"chǎnpǐn","產品","產品 goods, merchandise, product, CL:個|个[ge4]"
"chǎnshēng","產生","產生 to arise, to come into being, to come about, to give rise to, to bring into being, to bring about, to produce, to engender, to generate, to appear, appearance, emergence, generation, production, yield"
"chángshì","嘗, 常識","嘗 to taste, to try, to experience, already, ever, once
常識 common sense, general knowledge, CL:門|门[men2]"
"chāoguò","超過","超過 to surpass, to exceed, to outstrip"
"chāojí","超級","超級 super-, ultra-, hyper-"
"chǎojià","吵架","吵架 to quarrel, to have a row, quarrel, CL:頓|顿[dun4]"
"chēhuò","車禍","車禍 traffic accident, car crash, CL:場|场[chang2]"
"chèn","趁","趁 to avail oneself of, to take advantage of, old variant of 趁[chen4]"
"chéngguǒ","成果","成果 result, achievement, gain, profit, CL:個|个[ge4]"
"chéngjiù","成就","成就 accomplishment, success, achievement, to achieve (a result), to create, to bring about, CL:個|个[ge4]"
"chéngshóu","成熟","成熟 mature, ripe, to mature, to ripen, Taiwan pr. [cheng2 shou2]"
"chéngzhǎng","成長","成長 to mature, to grow, growth"
"chéngdù","程度","程度 degree (level or extent), level, CL:個|个[ge4]"
"chéngrèn","承認","承認 to admit, to concede, to recognize, recognition (diplomatic, artistic etc), to acknowledge"
"chéngshí","誠實","誠實 honest, honesty, honorable, truthful"
"chīhēwánlè","吃喝玩樂","吃喝玩樂 to eat, drink and be merry (idiom), to abandon oneself to a life of pleasure"
"chōngshí","充實","充實 rich, full, substantial, to enrich, to augment, to substantiate (an argument)"
"chóngxīn","重新","重新 again, once more, re-"
"chóng","蟲","蟲 lower form of animal life, including insects, insect larvae, worms and similar creatures, person with a particular undesirable characteristic, CL:條|条[tiao2],隻|只[zhi1]"
"chōu","抽","抽 to draw out, to pull out from in between, to remove part of the whole, (of certain plants) to sprout or bud, to whip or thrash"
"chǒu","醜","醜 shameful, ugly, disgraceful"
"chòu","臭","臭 stench, smelly, to smell (bad), repulsive, loathsome, terrible, bad, severely, ruthlessly, dud (ammunition), sense of smell, smell bad"
"chū","初","初 at first, (at the) beginning, first, junior, basic"
"chūbǎn","出版","出版 to publish"
"chūchāi","出差","出差 to go on an official or business trip"
"chūmén","出門","出門 to go out, to leave home, to go on a journey, away from home, (of a woman) to get married"
"chūzū","出租","出租 to rent"
"chúle","除了","除了 besides, apart from (... also...), in addition to, except (for)"
"chúxì","除夕","除夕 lunar New Year's Eve"
"chúshī","廚師","廚師 cook, chef"
"chǔlǐ","處理","處理 to handle, to treat, to deal with, to process, to deal with a criminal case, to mete out punishment, to offer for sale at a reduced price, to punish"
"chuántǒng","傳統","傳統 tradition, traditional, convention, conventional, CL:個|个[ge4]"
"chuàn","串","串 to string together, to skewer, to connect wrongly, to gang up, to rove, string, bunch, skewer, classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of, to make a swift or abrupt linear movement (like a bead on an abacus), to move across"
"chuàngzào","創造","創造 to create, to bring about, to produce, to set (a record)"
"chuī","吹","吹 to blow, to play a wind instrument, to blast, to puff, to boast, to brag, to end in failure, to fall through"
"chūnjié","春節","春節 Spring Festival (Chinese New Year)"
"cí","詞","詞 word, statement, speech, lyrics, a form of lyric poetry, flourishing in the Song dynasty 宋朝|宋朝[Song4 chao2], CL:組|组[zu3],個|个[ge4], CL:首[shou3]"
"cǐ","此","此 this, these"
"cìjī","刺激","刺激 to provoke, to irritate, to upset, to stimulate, to excite, irritant"
"cóngbù","從不","從不 never"
"cónglái","從來","從來 always, at all times, never (if used in negative sentence)"
"cóngxiǎo","從小","從小 from childhood, as a child"
"cù","醋","醋 vinegar, jealousy (in love rivalry)"
"cún","存","存 to exist, to deposit, to store, to keep, to survive"
"cúnzài","存在","存在 to exist, to be, existence"
"cùn","寸","寸 a unit of length, inch, thumb"
"cuòwù","錯誤","錯誤 error, mistake, mistaken, false, wrong, CL:個|个[ge4]"
"cuòzhé","挫折","挫折 setback, reverse, check, defeat, frustration, disappointment, to frustrate, to discourage, to set sb back, to blunt, to subdue"
"dāyìng","答應","答應 to answer, to respond, to answer positively, to agree, to accept, to promise"
"dáchéng","達成","達成 to reach (an agreement), to accomplish"
"dǎgōng","打工","打工 to work a temporary or casual job, (of students) to have a job outside of class time, or during vacation"
"dǎjià","打架","打架 to fight, to scuffle, to come to blows, CL:場|场[chang2]"
"dǎtīng","打聽","打聽 to ask about, to make some inquiries, to ask around"
"dǎzhàng","打仗","打仗 to fight a battle, to go to war"
"dǎzhé","打折","打折 to give a discount"
"dàdà","大大","大大 greatly, enormously, (dialect) dad, uncle"
"dàduōshù","大多數","大多數 (great) majority"
"dàfāng","大方","大方 expert, scholar, mother earth, a type of green tea, generous, magnanimous, stylish, in good taste, easy-mannered, natural and relaxed"
"dàgài","大概","大概 roughly, probably, rough, approximate, about, general idea"
"dàhuì","大會","大會 general assembly, general meeting, convention, CL:個|个[ge4],屆|届[jie4]"
"dàlù","大陸","大陸 mainland China (reference to the PRC), continent, mainland, CL:個|个[ge4],塊|块[kuai4]"
"dàmén","大門","大門 entrance, door, gate, large and influential family"
"dàxiǎo","大小","大小 dimension, magnitude, size, measurement, large and small, at any rate, adults and children, consideration of seniority"
"dàyuē","大約","大約 approximately, probably"
"dàibiǎo","代表","代表 representative, delegate, to represent, to stand for, on behalf of, in the name of, CL:位[wei4],個|个[ge4],名[ming2]"
"dàitì","代替","代替 to replace, to take the place of"
"dàilái","帶來","帶來 to bring, to bring about, to produce"
"dàilǐng","帶領","帶領 to guide, to lead"
"dānchún","單純","單純 simple, pure, unsophisticated, merely, purely"
"dānshēn","單身","單身 unmarried, single"
"dānrèn","擔任","擔任 to hold a governmental office or post, to assume office of, to take charge of, to serve as"
"dāngchǎng","當場","當場 at the scene, on the spot"
"dāngdì","當地","當地 local"
"dāngmiàn","當面","當面 to sb's face, in sb's presence"
"dāngnián","當年","當年 in those days, then, in those years, during that time, that very same year"
"dàngtiān","當天","當天 on that day, the same day"
"dāngzhōng","當中","當中 among, in the middle, in the center"
"dàngzuò","當作, 當做","當作 to treat as, to regard as
當做 to treat as, to regard as, to look upon as"
"dǎo","倒, 島","倒 to fall, to collapse, to lie horizontally, to overthrow, to fail, to go bankrupt, to change (trains or buses), to move around, to resell at a profit, to place upside down, to invert, to pour, to throw out, to move backwards, however, actually, as a matter of fact, contrary to expectation
島 island, CL:個|个[ge4],座[zuo4]"
"dǎoyǎn","導演","導演 to direct, director (film etc)"
"dàochù","到處","到處 everywhere"
"dàodǐ","到底","到底 finally, in the end, when all is said and done, after all, to the end, to the last"
"dàodé","道德","道德 virtue, morality, ethics, CL:種|种[zhong3]"
"dàojiào","道教","道教 Taoism, Daoism (Chinese system of beliefs)"
"dàolǐ","道理","道理 reason, argument, sense, principle, basis, justification, CL:個|个[ge4]"
"dàoqiàn","道歉","道歉 to apologize"
"dàoshì","倒是, 道士","倒是 contrary to what one might expect, actually, contrariwise, why don't you
道士 Daoist priest"
"dédào","得到","得到 to get, to obtain, to receive"
"déyì","得意","得意 proud of oneself, pleased with oneself, complacent"
"dehěn","得很","得很 (after an adjective) very"
"dehuà","的話","的話 if (coming after a conditional clause)"
"dēngguāng","燈光","燈光 (stage) lighting, light"
"děngdài","等待","等待 to wait, to wait for"
"dī","低, 滴","低 low, beneath, to lower (one's head), to let droop, to hang down, to incline
滴 a drop, to drip"
"dírén","敵人","敵人 enemy, CL:個|个[ge4]"
"dǐxia","底下","底下 the location below sth, afterwards"
"dǐdá","抵達","抵達 to arrive, to reach (a destination)"
"dìbǎn","地板","地板 floor"
"dìdài","地帶","地帶 zone, CL:個|个[ge4]"
"dìdiǎn","地點","地點 place, site, location, venue, CL:個|个[ge4]"
"dìlǐ","地理","地理 geography"
"dìqū","地區","地區 local, regional, district (not necessarily formal administrative unit), region, area, CL:個|个[ge4], as suffix to city name, means prefecture or county (area administered by a prefecture-level city or county level city)"
"dìtān","地攤","地攤 street stall with goods laid out on the ground"
"dìwèi","地位","地位 position, status, place, CL:個|个[ge4]"
"dìxià","地下","地下 underground, subterranean, covert"
"dìxíng","地形","地形 topography, terrain, landform"
"diànchē","電車","電車 trolleybus, CL:輛|辆[liang4]"
"diànchí","電池","電池 battery, CL:節|节[jie2],組|组[zu3]"
"diàndēng","電燈","電燈 electric light, CL:盞|盏[zhan3]"
"diànyuán","店員","店員 shop assistant, salesclerk, salesperson"
"diàochá","調查","調查 investigation, inquiry, to investigate, to survey, survey, (opinion) poll, CL:項|项[xiang4],個|个[ge4]"
"dìng","訂, 釘","訂 to agree, to conclude, to draw up, to subscribe to (a newspaper etc), to order
釘 nail, to follow closely, to keep at sb (to do sth), to join things together by fixing them in place at one or more points, to nail, to pin, to staple, to sew on, variant of 盯[ding1]"
"dōngběi","東北","東北 Northeast China, Manchuria, northeast"
"dōngfāng","東方","東方 the East, the Orient, two-character surname Dongfang, east"
"dōngnán","東南","東南 southeast"
"dǒngshì","懂事","懂事 sensible, thoughtful, intelligent"
"dòu","逗","逗 to stay, to stop, to tease (play with), amusing, short pause in reading aloud, equivalent to comma (also written 讀|读[dou4])"
"dòufu","豆腐","豆腐 tofu, bean curd"
"dòujiāng","豆漿","豆漿 soy milk"
"dūshì","都市","都市 city, metropolis"
"dúpǐn","毒品","毒品 drugs, narcotics, poison"
"dútè","獨特","獨特 unique, distinct, having special characteristics"
"dúzhě","讀者","讀者 reader, CL:個|个[ge4]"
"duàn","段","段 paragraph, section, segment, stage (of a process), classifier for stories, periods of time, lengths of thread etc, surname Duan"
"duī","堆","堆 to pile up, to heap up, a mass, pile, heap, stack, large amount"
"duìfāng","對方","對方 counterpart, other person involved, opposite side, other side, receiving party"
"duìhuà","對話","對話 dialogue, CL:個|个[ge4]"
"duìle","對了","對了 Correct!, Oh, that's right, ... (when one suddenly remembers sth one wanted to mention), Oh, by the way, ..."
"duìxiàng","對象","對象 target, object, partner, boyfriend, girlfriend, CL:個|个[ge4]"
"duōduoshǎoshǎo","多多少少","多多少少 to some extent, more or less"
"duōme","多麼","多麼 how (wonderful etc), what (a great idea etc), however (difficult it may be etc), (in interrogative sentences) how (much etc), to what extent"
"dùn","頓, 噸","頓 to stop, to pause, to arrange, to lay out, to kowtow, to stamp (one's foot), at once, classifier for meals, beatings, scoldings etc: time, bout, spell, meal
噸 ton (loanword), Taiwan pr. [dun4]"
"en","嗯","嗯 (a groaning sound), (nonverbal grunt as interjection), OK, yeah, what?, interjection indicating approval, appreciation or agreement"
"értóng","兒童","兒童 child, CL:個|个[ge4]"
"fābiǎo","發表","發表 to issue, to publish"
"fācái","發財","發財 to get rich"
"fāchū","發出","發出 to issue (an order, decree etc), to send out, to dispatch, to produce (a sound), to let out (a laugh)"
"fādá","發達","發達 developed (country etc), flourishing, to develop"
"fāhuī","發揮","發揮 to display, to exhibit, to bring out implicit or innate qualities, to express (a thought or moral), to develop (an idea), to elaborate (on a theme)"
"fājué","發覺, 發掘","發覺 to become aware, to detect, to realize, to perceive
發掘 to excavate, to explore, (fig.) to unearth, to tap into"
"fāmíng","發明","發明 to invent, an invention, CL:個|个[ge4]"
"fāpíqi","發脾氣","發脾氣 to get angry"
"fāpiào","發票","發票 invoice, receipt or bill for purchase"
"fǎlǜ","法律","法律 law, CL:條|条[tiao2], 套[tao4], 個|个[ge4]"
"fān","翻, 番","翻 to turn over, to flip over, to overturn, to rummage through, to translate, to decode, to double, to climb over or into, to cross, variant of 翻[fan1]
番 foreign (non-Chinese), barbarian, classifier for occurrences (of an event, action or speech utterance), classifier for iterations: times, -fold (as in twofold etc), classifier for situations: kind, sort, surname Pan"
"fānyì","翻譯","翻譯 to translate, to interpret, translator, interpreter, translation, interpretation, CL:個|个[ge4],位[wei4],名[ming2]"
"fánnǎo","煩惱","煩惱 to be worried, to be distressed, worries"
"fǎnér","反而","反而 instead, on the contrary, contrary (to expectations)"
"fǎnyìng","反應, 反映","反應 to react, to respond, reaction, response, reply, chemical reaction, CL:個|个[ge4]
反映 to mirror, to reflect, mirror image, reflection, (fig.) to report, to make known, to render"
"fànwéi","範圍","範圍 range, scope, limit, extent, CL:個|个[ge4]"
"fāngmiàn","方面","方面 respect, aspect, field, side, CL:個|个[ge4]"
"fāngshì","方式","方式 way, manner, style, mode, pattern, CL:個|个[ge4]"
"fángdōng","房東","房東 landlord"
"fángkè","房客","房客 tenant"
"fángwū","房屋","房屋 house, building, CL:所[suo3],套[tao4]"
"fǎngwèn","訪問","訪問 to visit, to call on, to interview, CL:次[ci4]"
"fàngxīn","放心","放心 to feel relieved, to feel reassured, to be at ease"
"fèiyòng","費用","費用 cost, expenditure, expense, CL:筆|笔[bi3],個|个[ge4]"
"fēnkāi","分開","分開 to separate, to part"
"fèn","份, 糞","份 classifier for gifts, newspaper, magazine, papers, reports, contracts etc, variant of 分[fen4]
糞 manure, dung"
"fēngfù","豐富","豐富 to enrich, rich, plentiful, abundant"
"fēnggé","風格","風格 style"
"fēngsú","風俗","風俗 social custom, CL:個|个[ge4]"
"fójiào","佛教","佛教 Buddhism"
"fǒuzé","否則","否則 if not, otherwise, else, or else"
"fūfù","夫婦","夫婦 a (married) couple, husband and wife, CL:對|对[dui4]"
"fúhé","符合","符合 in keeping with, in accordance with, tallying with, in line with, to agree with, to accord with, to conform to, to correspond with, to manage, to handle"
"fúlì","福利","福利 material benefit, benefit in kind, (social) welfare"
"fúzhuāng","服裝","服裝 dress, clothing, costume, clothes, CL:身[shen1]"
"fǔbài","腐敗","腐敗 corruption, to corrupt, to rot, rotten"
"fùchū","付出","付出 to pay, to invest (energy or time in a friendship etc)"
"fùdān","負擔","負擔 burden, to bear a burden"
"fùzé","負責","負責 to be in charge of, to take responsibility for, to be to blame, conscientious"
"fùxí","複習","複習 variant of 復習|复习[fu4 xi2]"
"gǎi","改","改 to change, to alter, to transform, to correct"
"gǎibiàn","改變","改變 to change, to alter, to transform"
"gǎijìn","改進","改進 to improve, to make better, CL:個|个[ge4]"
"gǎishàn","改善","改善 to make better, to improve, CL:個|个[ge4]"
"gǎitiān","改天","改天 another day, some other time, to find another day (for appointment etc), to take a rain check"
"gài","蓋, 鈣","蓋 lid, top, cover, canopy, to cover, to conceal, to build, surname Ge
鈣 calcium (chemistry)"
"gàiniàn","概念","概念 concept, idea, CL:個|个[ge4]"
"gǎn","趕","趕 to overtake, to catch up with, to hurry, to rush, to try to catch (the bus etc), to drive (cattle etc) forward, to drive (sb) away, to avail oneself of (an opportunity), until"
"gǎnkuài","趕快","趕快 at once, immediately"
"gǎnshàng","趕上","趕上 to keep up with, to catch up with, to overtake, to chance upon, in time for"
"gǎndòng","感動","感動 to move (sb), to touch (sb emotionally), moving"
"gǎnxiǎng","感想","感想 impressions, reflections, thoughts, CL:通[tong4],個|个[ge4]"
"gǎnxìngqù","感興趣","感興趣 to be interested"
"gāosù","高速","高速 high speed"
"gāozhōng","高中","高中 senior high school, to pass brilliantly (used in congratulatory fashion), abbr. for 高級中學|高级中学[gao1 ji2 zhong1 xue2]"
"gǎo","搞","搞 to do, to make, to go in for, to set up, to get hold of, to take care of"
"gēqǔ","歌曲","歌曲 song"
"gēxīng","歌星","歌星 singing star, famous singer"
"gébì","隔壁","隔壁 next door, neighbor"
"gémìng","革命","革命 revolution, revolutionary (politics), CL:次[ci4]"
"gèrén","個人","個人 individual, personal, oneself"
"gèzi","個子","個子 height, stature, build, size"
"gèshìgèyàng","各式各樣","各式各樣 (of) all kinds and sorts, various"
"gèwèi","各位","各位 everybody, all (guests, colleagues etc), all of you"
"gēnjù","根據","根據 according to, based on, basis, foundation, CL:個|个[ge4]"
"gèngjiā","更加","更加 more (than sth else), even more"
"gōngchǐ","公尺","公尺 meter (unit of length)"
"gōngfēn","公分","公分 centimeter, gram"
"gōnggòng","公共","公共 public, common, communal"
"gōnglù","公路","公路 highway, road, CL:條|条[tiao2]"
"gōngfu","功夫, 工夫","功夫 skill, art, kung fu, labor, effort
工夫 (old) laborer, period of time (may be months, or mere seconds), spare time, skill, labor, effort"
"gōngnéng","功能","功能 function, capability"
"gōngjù","工具","工具 tool, instrument, utensil, means (to achieve a goal etc)"
"gōngyè","工業","工業 industry"
"gōngxǐ","恭喜","恭喜 congratulations, greetings"
"gòngtóng","共同","共同 common, joint, jointly, together, collaborative"
"gòngxiàn","貢獻","貢獻 to contribute, to dedicate, to devote, contribution, CL:個|个[ge4]"
"gōutōng","溝通","溝通 to join, to connect, to link up, to communicate"
"gòumǎi","購買","購買 to purchase, to buy"
"gūniáng","姑娘","姑娘 girl, young woman, young lady, daughter, paternal aunt (old), CL:個|个[ge4]"
"gǔ","古, 鼓","古 ancient, old, paleo-, surname Gu
鼓 drum, to drum, to strike, to rouse, to bulge, to swell, old variant of 鼓[gu3], CL:通[tong4],面[mian4]"
"gǔdài","古代","古代 ancient times, olden times"
"gǔjī","古蹟, 古跡","古蹟 
古跡 places of historic interest, historical sites, CL:個|个[ge4]"
"gǔlǎo","古老","古老 ancient, old, age-old"
"gùyì","故意","故意 deliberately, on purpose"
"guā","刮","刮 to scrape, to blow, to shave, to plunder, to extort, to blow (of the wind)"
"guāi","乖","乖 (of a child) obedient, well-behaved, clever, shrewd, alert, perverse, contrary to reason, irregular, abnormal"
"guānchá","觀察","觀察 to observe, to watch, to survey, to examine, observation, view, perspective, CL:個|个[ge4]"
"guāndiǎn","觀點","觀點 point of view, viewpoint, standpoint, CL:個|个[ge4]"
"guānniàn","觀念","觀念 notion, thought, concept, sense, views, ideology, general impressions"
"guānzhòng","觀眾","觀眾 spectators, audience, visitors (to an exhibition etc)"
"guàn","罐, 灌","罐 can, jar, pot, variant of 罐[guan4]
灌 to irrigate, to pour, to install (software), to record (music)"
"guǎngbò","廣播","廣播 broadcast, broadcasting, to broadcast, (formal) to propagate, to publicize, CL:個|个[ge4]"
"guǎngchǎng","廣場","廣場 public square, plaza"
"guǎnggào","廣告","廣告 to advertise, a commercial, advertisement, CL:項|项[xiang4]"
"guàng","逛","逛 to stroll, to visit"
"guàngjiē","逛街","逛街 to take a walk, to window-shop, to stroll down the street"
"guījǔ","規矩","規矩 lit. compass and set square, fig. established standard, rule, customs, practices, fig. upright and honest, well-behaved"
"guīmó","規模","規模 scale, scope, extent, CL:個|个[ge4]"
"guǐ","鬼","鬼 ghost, demon, terrible, damnable, clever, sly, crafty, (suffix for sb with a certain vice or addiction etc), one of the 28 constellations"
"guìxìng","貴姓","貴姓 what is your surname?, (May I ask) your surname?"
"guìzi","櫃子","櫃子 cupboard, cabinet"
"guónèi","國內","國內 domestic, internal (to a country), civil"
"guówài","國外","國外 abroad, external (affairs), overseas, foreign"
"guówáng","國王","國王 king, CL:個|个[ge4]"
"guóyǔ","國語","國語 Chinese language (Mandarin), emphasizing its national nature, Chinese as a primary or secondary school subject, Chinese in the context of the Nationalist Government, Guoyu, book of historical narrative c. 10th-5th century BC"
"guòrìzi","過日子","過日子 to live one's life, to pass one's days, to get along"
"hāi","嗨","嗨 oh alas, hey!, hi! (loanword), a high (natural or drug-induced) (loanword)"
"háihǎo","還好","還好 not bad, tolerable, fortunately"
"háiyào","還要","還要 "
"hǎibào","海報","海報 poster, playbill, notice"
"hǎitān","海灘","海灘 beach, CL:片[pian4]"
